Date,AAPL,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,MSFT,NVDA,PFE,TSLA,WMT,XOM
2015-01-02,24.214895248413086,15.425999641418457,14.203641891479492,69.5293960571289,26.27894401550293,156.3738555908203,76.95558166503906,46.51113510131836,29.783409118652344,39.76768493652344,0.48301130533218384,18.381010055541992,14.620667457580566,23.21923828125,57.53340530395508
2015-01-05,23.532724380493164,15.10949993133545,13.791024208068848,66.75019836425781,25.778226852416992,151.49139404296875,76.41805267333984,45.06718444824219,29.783409118652344,39.40198516845703,0.4748533070087433,18.281272888183594,14.005999565124512,23.151660919189453,55.95920181274414
2015-01-06,23.53493309020996,14.76449966430664,13.378405570983887,66.71929168701172,25.142032623291016,148.42684936523438,76.04258728027344,43.898643493652344,30.009572982788086,38.82367706298828,0.4604565501213074,18.433815002441406,14.085332870483398,23.330060958862305,55.66170120239258
2015-01-07,23.864944458007812,14.920999526977539,13.44188404083252,66.6637191772461,25.068092346191406,150.6387939453125,77.72130584716797,43.96563720703125,30.384174346923828,39.31692886352539,0.4592567980289459,18.68609046936035,14.063332557678223,23.949064254760742,56.225711822509766
2015-01-08,24.781896591186523,15.02299976348877,13.719614028930664,68.18920135498047,25.155433654785156,153.04383850097656,78.33241271972656,44.94810485839844,30.75168800354004,40.473567962646484,0.47653284668922424,19.067441940307617,14.041333198547363,24.454532623291016,57.16154861450195
2015-01-09,24.8084659576416,14.846500396728516,13.473624229431152,66.83049774169922,24.84825325012207,150.69512939453125,77.2647933959961,44.166603088378906,30.412429809570312,40.13338088989258,0.4784524142742157,19.155439376831055,13.77733325958252,24.15178680419922,57.08098220825195
2015-01-12,24.197174072265625,14.570500373840332,13.235575675964355,65.39147186279297,24.6666259765625,148.86122131347656,76.99977111816406,43.78701400756836,30.13679313659668,39.631595611572266,0.472453773021698,19.225847244262695,13.480667114257812,24.332887649536133,55.984012603759766
2015-01-13,24.41200828552246,14.737000465393066,13.053067207336426,64.35391235351562,24.9018497467041,148.74856567382812,77.13226318359375,43.794456481933594,30.129730224609375,39.42750549316406,0.4717338979244232,19.03223991394043,13.616666793823242,24.140981674194336,55.77947998046875
2015-01-14,24.31899070739746,14.66349983215332,12.727738380432129,64.16861724853516,25.106801986694336,144.96815490722656,76.57271575927734,42.283531188964844,30.08025550842285,39.087310791015625,0.4736534655094147,19.055709838867188,12.845999717712402,23.411155700683594,55.61832046508789
2015-01-15,23.658966064453125,14.34749984741211,12.06119441986084,63.40898895263672,25.011520385742188,143.56858825683594,75.4609375,40.92890167236328,29.95303726196289,38.679107666015625,0.470294326543808,19.008771896362305,12.791333198547363,23.619291305541992,55.134925842285156
2015-01-16,23.47513771057129,14.536999702453613,12.204026222229004,64.9220962524414,25.331602096557617,142.5550994873047,76.60216522216797,41.6285400390625,30.059043884277344,39.32545852661133,0.4789324104785919,19.243446350097656,12.871333122253418,23.454404830932617,56.47360610961914
2015-01-20,24.079788208007812,14.472000122070312,12.108807563781738,65.75586700439453,25.305797576904297,141.26809692382812,74.5774154663086,41.46479415893555,30.50430679321289,39.45302200317383,0.4803720712661743,19.419458389282227,12.795332908630371,23.432781219482422,56.45501708984375
2015-01-21,24.26362419128418,14.862500190734863,12.227831840515137,66.79961395263672,25.824378967285156,142.49073791503906,75.0265121459961,41.5987663269043,30.645668029785156,39.05329132080078,0.48709043860435486,19.14957618713379,13.104666709899902,23.41925621032715,56.93844223022461
2015-01-22,24.894847869873047,15.515999794006348,12.767407417297363,67.26895904541016,26.66353988647461,146.4239959716797,76.39599609375,42.86408615112305,30.942520141601562,40.082366943359375,0.49548864364624023,19.24932098388672,13.441332817077637,23.867965698242188,57.5582275390625
2015-01-23,25.023317337036133,15.619500160217285,12.481748580932617,65.99054718017578,26.8942928314209,145.17727661132812,75.24740600585938,42.18677520751953,30.610332489013672,40.124874114990234,0.49692827463150024,19.038108825683594,13.419333457946777,23.924734115600586,56.3310661315918
2015-01-26,25.04989242553711,15.482999801635742,12.576972961425781,67.2442626953125,26.634754180908203,145.1209259033203,75.29156494140625,42.25374221801758,30.3912353515625,39.98030471801758,0.49476882815361023,19.243446350097656,13.770000457763672,23.957168579101562,56.87025833129883
2015-01-27,24.172809600830078,15.337499618530273,12.402399063110352,66.86137390136719,25.864076614379883,141.9598388671875,75.16641235351562,41.829505920410156,29.960107803344727,36.280792236328125,0.4710141718387604,19.126110076904297,13.732000350952148,23.65983009338379,56.36824035644531
2015-01-28,25.53938102722168,15.195500373840332,12.06119441986084,64.05126953125,25.429363250732422,139.19296264648438,74.71730041503906,40.750274658203125,29.627927780151367,35.030601501464844,0.4633358120918274,18.744760513305664,13.291333198547363,23.46791648864746,54.508941650390625
2015-01-29,26.334497451782227,15.58899974822998,12.243700981140137,63.6127815246582,25.469064712524414,141.5577392578125,75.37993621826172,41.43501281738281,29.75513458251953,35.72798156738281,0.4746133089065552,18.67436408996582,13.680000305175781,23.711196899414062,54.27961730957031
2015-01-30,25.949111938476562,17.726499557495117,12.02151870727539,63.3225212097168,26.675945281982422,138.67808532714844,73.73066711425781,40.474891662597656,29.09782600402832,34.35873794555664,0.46069633960723877,18.33407974243164,13.573332786560059,22.970556259155273,54.180458068847656
2015-02-02,26.274702072143555,18.223499298095703,12.267507553100586,65.50262451171875,26.410449981689453,141.155517578125,74.23873138427734,41.28616714477539,29.394689559936523,35.10714340209961,0.4707741141319275,18.568758010864258,14.062666893005371,23.167882919311523,55.51913833618164
